teksts;vērtība;atsauce
9 paradumi, kas kaitē mugurai un veicina sāpju rašanos;0;https://lifehacks.nra.lv/veseliba/450133-9-paradumi-kas-kaite-mugurai-un-veicina-sapju-rasanos/?_gl=1*apvvb*_ga*MTAwMDQxNjIzNS4xNzEwNzQ5OTU2*_ga_LTMBW853YH*MTcxMDc0OTk1Ni4xLjEuMTcxMDc0OTk4MC4wLjAuMA..
Absolūti piekrītu, bērnišķīgi;0;https://twitter.com/UldisSoNice/status/1722209536579379682
"Agrā rītā kāds vīrs ar vienu pašu aci saticis kuprīti un prasījis: ""Ko tad tu tik agri ar savu paunu jau kājās?"" Kuprītis paskatījies un atbildējis: ""Jā, agrs jau, laikam, ir gan vēl, jo tev viens slēģis arī vēl ciet'..."" Vienacis apkaunots aizgājis.";1;Birkets P. Latvju tautas anekdotes. 447 lpp.
Agrāk es domāju, ka tu man esi līdz kaklam. Tagad mans viedoklis ir noslīdējis daudz zemāk.;1;https://spoki.lv/joki/20-sarkastiskas-frazes-kuras-lietot/870699
Aha - ja man uzbrūk suns, sakož, bet es, sevi aizstāvot, viņam izsitu zobu vai salaužu ķepu, tad mēs esam abi vienlīdz vainīgi. Jā, protams, ja upuris nav pietiekami mierīgs un pacietīgs, tad viņš nav pietiekami upuris. ;1;https://twitter.com/_svilpaste_/status/1764250120927707277
Aha. Var sagrabināt naudu tikai vienai reklāmiņai pirms Jaunā gada? Nu tā par premjeru nevarēs kļūt;1;https://twitter.com/Ingvilda/status/1344666397432049666
Aicina laikus potēties pret ērču encefalītu;0;https://www.lsm.lv/raksts/dzive--stils/veseliba/12.03.2024-aicina-laikus-poteties-pret-ercu-encefalitu.a546357/
Aicina piedalīties aptaujā par diabēta riskiem un simptomiem;0;https://nra.lv/veseliba/443718-aicina-piedalities-aptauja-par-diabeta-riskiem-un-simptomiem.htm
Aizvadītajā diennaktī dzēsti jau 20 kūlas ugunsgrēki;0;https://www.tvnet.lv/7980948/aizvaditaja-diennakti-dzesti-jau-20-kulas-ugunsgreki
Aizvadītajā nedēļā vēl 27 mežacūkām Latvijā konstatēts Āfrikas cūku mēris;0;https://www.tvnet.lv/7967475/aizvaditaja-nedela-vel-27-mezacukam-latvija-konstatets-afrikas-cuku-meris
Ak, ļaunā Eiropas savienība ar savām individuālajām brīvībām. Atnāca un vardarbīgi pievienoja Latviju sev.;1;https://twitter.com/ArmandsOnzuls/status/1047891665783021568
Ak, sarkasma detektors. Tas ir patiešām noderīgs izgudrojums!;1;https://lv.eferrit.com/kas-ir-sarkasma/
Alus darīšanas nozari Latvijā pārstāvēs jauna organizācija;0;https://nra.lv/latvija/446760-alus-darisanas-nozari-latvija-parstaves-jauna-organizacija.htm
Amatam ir tikai informatīva nozīme, nekādus pienākumus un atbildību tas neuzliek.;1;https://twitter.com/getImants/status/1373203108382277635
Apkures rēķins Rīgā daļai mājsaimniecību pieaudzis pat dubultā;0;https://nra.lv/latvija/riga/447151-apkures-rekins-riga-dalai-majsaimniecibu-pieaudzis-pat-dubulta.htm
Apstiprina kārtību elektroskrejriteņu un velorikšu reģistrācijai;0;https://www.tvnet.lv/7959302/apstiprina-kartibu-elektroskrejritenu-un-veloriksu-registracijai
Apsūdzētais, es ceru, ka mēs vairāk netiksimies? Vai tad jūs maināt darbu, tiesneša kungs?;1;Fiat iustitia. Dzintra Voitkāne, sast. ISBN10: 9984755525. ISBN13: 9789984755526. Izdeva: Didam, 2008.  12.lpp. 
Apsveicu! Izcili izmantots tautas uzticētais laiks un līdzekļi! ;1;https://twitter.com/PurvaMeldra/status/1525147346245402625
Apsver iespēju atteikties no auto tehniskās apskates uzlīmēm;0;https://www.lsm.lv/raksts/zinas/latvija/10.02.2024-apsver-iespeju-atteikties-no-auto-tehniskas-apskates-uzlimem.a542425/
Aptauja: Gados jaunākiem ārstiem neuzticas tikai 3%;0;https://www.lsm.lv/raksts/dzive--stils/veseliba/12.02.2024-aptauja-gados-jaunakiem-arstiem-neuzticas-tikai-3.a542340/
Aptiekās trūkst lētāko valsts kompensējamo asinsspiediena regulēšanas medikamentu;0;https://www.delfi.lv/193/politics/56239610/aptiekas-trukst-letako-valsts-kompensejamo-asinsspiediena-regulesanas-medikamentu
Ar labu balsi nepietiek, dziesmai jābūt foršai un lipīgai. Šo kā noklausījos, tā momentā aizmirsu.;0;https://twitter.com/AnitaRuza/status/1760274362840527164
Ar lietotni '112 Latvija' grasās veicināt cilvēku apziņošanu un komunikāciju;0;https://www.delfi.lv/193/politics/56336620/ar-lietotni-112-latvija-grasas-veicinat-cilveku-apzinosanu-un-komunikaciju
Ar šādu attieksmi mēs komunismu neuzcelsim! ;1;https://twitter.com/heremit/status/1750846941716533427
Ar tagadējiem termotraukiem jau nu var paēst glauni mājās taisītu, siltu ēdienu bez kādām problēmām.;0;https://twitter.com/Jenotsons/status/1750944233073119502
Arhitekts vainīgs! Ja Rundāles pilī sāks tecēt griesti, tad meklēsim Rastrelli kapu, lai varam atbildību prasīt!;1;https://twitter.com/tvitermaniaks/status/939406374437502977
Arī Rīga ķeras klāt skolu optimizācijai;0;https://www.delfi.lv/193/politics/56345652/ari-riga-keras-klat-skolu-optimizacijai
Arī tāda var būt valdības veidošanas metode: uzskaita visus, kam jāpaliek amatā, un tad tukšajām vietām (ja tādas ir) piemeklē jaunas sejas;1;https://twitter.com/Talis_L/status/1054273535433154560
Arī Traumatoloģijas slimnīcu uztrauc ministrijas iecere būtiski mainīt pacientu aprūpi;0;https://www.tvnet.lv/7966501/ari-traumatologijas-slimnicu-uztrauc-ministrijas-iecere-butiski-mainit-pacientu-aprupi
"Astoņām Rīgas ielām būs jauni nosaukumi; pārdēvēšana izmaksās 80 000 eiro";0;https://www.delfi.lv/193/politics/56344792/astonam-rigas-ielam-bus-jauni-nosaukumi-pardevesana-izmaksas-80-000-eiro
"Atbildot uz kritiku par deputāta Zaķa krāpniecību, Vienotības biedriem esot izsūtīts šāds cirkulārs ar 'pareizo"" atbildi: Zagt no valsts protams nav labi,bet šīs valdības laikā uz meža zvēriem Zaķiem, Vilkiem, Jenotiem tas neattiecas.";1;https://vlnereta.1s.lv/119-smiekligi-un-ironiski-par-politiku-un-sabiedribu-anekdotes-un-joki/
Atcelsim privātauto - būs zaļi un visi dzīvi! ;1;https://twitter.com/ECapligina/status/1724923663210643812
Atceries! Tu esi unikāls. Tāpat kā visi citi.;1;https://spoki.lv/joki/23-sarkastiski-jocini-labakai-dienai/886410/1/2
Atjaunota vilcienu satiksme kopš pirmdienas slēgtajā Tukuma līnijas posmā;0;https://www.tvnet.lv/7978601/atjaunota-vilcienu-satiksme-kops-pirmdienas-slegtaja-tukuma-linijas-posma
Atsevišķās pilsētās Latvijā braukšanu apgrūtina bieza migla;0;https://nra.lv/latvija/448546-atseviskas-pilsetas-latvija-brauksanu-apgrutina-bieza-migla.htm
Atvaino, ka nokavēju. Biju aizrāvies, izbaudot pēdējās minūtes, kuras nepavadu šeit.;1;https://spoki.lv/joki/20-sarkastiskas-frazes-kuras-lietot/870699
Atvaino, nedzirdēju tevi cauri savām cerībām uz to, ka tu vienreiz apklusīsi un aiziesi prom.;1;https://spoki.lv/joki/20-sarkastiskas-frazes-kuras-lietot/870699/1/2
Atvainojos, ka operatīvi neatbildēju - biju pastā pēc kremļa naratīviem šodienai.;1;https://twitter.com/DagnijaNeimane/status/1511605343821996036
Atvainojos, nākamreiz būšu pieklājīgāka pret personām, kas pastrādā agresijas noziegumu, genocīdu, noziegumus pret cilvēci un kara noziegumus. Pilnīgi salīdzināmas situācijas. ;1;https://twitter.com/Naktene/status/1584799007100260354
Atvaļinājumā noteikti jaaiziet arī uz futbolu Šoreiz Eiropas liga Sporting - Atlanta;0;https://twitter.com/VFARONS/status/1765483173465514283
Atvedis Erasmus studentu ar ātro palīdzību, kuram nav naudas tulkam. Ko darīt? Ļaut viņam nomirt, ja pieņemšanas nodaļā, jo līdz stipendijai vēl nedēļa un tulku nevar atļauties? ;1;https://twitter.com/sinezd_/status/1769992587769692407
Atzīmē savu ikdienas maršrutu! Rīga pēta iedzīvotāju pārvietošanās paradumus;0;https://www.delfi.lv/193/politics/56238924/atzime-savu-ikdienas-marsrutu-riga-peta-iedzivotaju-parvietosanas-paradumus
Audio ieraksts. Mediķi parāda, cik šokējošus zvanus nākas uzklausīt gadu mijā;0;https://nra.lv/veseliba/441925-audio-ieraksts-mediki-parada-cik-sokejosus-zvanus-nakas-uzklausit-gadu-mija.htm
Augošas pacientu agresijas dēļ ārsti aicina būtiski pastiprināt atbildību par uzbrukumiem;0;https://www.lsm.lv/raksts/zinas/latvija/16.03.2024-augosas-pacientu-agresijas-del-arsti-aicina-butiski-pastiprinat-atbildibu-par-uzbrukumiem.a546887/
Augstākajai izglītībai ir liela nozīme, bet diemžēl ne visi to saprot. Mūsu birojā ir 25 cilvēki, bet bakalaura grāds ir tikai diviem: kurjeram un apkopējai!;1;https://sveicu.lv/anekdotes/anekdotes-par-darbu/
Austrumu slimnīcā varēs bez maksas saņemt plaušu speciālistu konsultācijas un izmeklēties uz tuberkulozi;0;https://www.tvnet.lv/7981777/austrumu-slimnica-vares-bez-maksas-sanemt-plausu-specialistu-konsultacijas-un-izmekleties-uz-tuberkulozi
Autobusā no lidostas tūristiem varētu nodrošināt informāciju svešvalodā;0;https://www.delfi.lv/193/politics/56347420/autobusa-no-lidostas-turistiem-varetu-nodrosinat-informaciju-svesvaloda
Autotransporta direkcija lūdz uzlabot valsts autoceļu stāvokli;0;https://nra.lv/latvija/448253-autotransporta-direkcija-ludz-uzlabot-valsts-autocelu-stavokli.htm
Autovadītāj, neaizmiedz pie stūres! Valstij ir vajadzīgs katrs nodokļu maksātājs.;1;Dari ko darīdams… Sast. Tiļļa Andris. Izdots: Lauku Avīze, 2006. 116. lpp
Autoveikals ir. Ar skolām ar tā varētu Braucošā skola. Katru nedēļas dienu citā mazpilsētā. ;1;https://twitter.com/EL62278131/status/1752700308483191228
Avārijas dēļ Rīgā traucēta satiksme pār Salu tiltu centra virzienā;0;https://www.delfi.lv/161/criminal/56359118/avarijas-del-riga-trauceta-satiksme-par-salu-tiltu-centra-virziena
Ā, es tev nepateicu? Tad jau laikam nav tava darīšana.;1;https://spoki.lv/joki/23-sarkastiski-jocini-labakai-dienai/886410/1/2
Āgenskalna tirgū satiku Regīnu Devīti. Nenoturējos nepienākt un pienācu sasveicināties, un parādīju bildi, kur mēs 2014. gada vasarā tā nejauši uz ielas satikāmies. Toreiz fanoju par Ugunsgrēku un aizvien fanoju par viņu kā aktrisi.;0;https://twitter.com/APilegis/status/1769335881851183419
Ārsti pauž satraukumu par strauju diabēta pacientu skaita pieaugumu;0;https://nra.lv/veseliba/446718-arsti-pauz-satraukumu-par-strauju-diabeta-pacientu-skaita-pieaugumu.htm
Ārsts speciālists ir mediķis, kas savus pacientus iedresējis tiktāl, ka tie slimo tikai tajās dienās, kad viņam ir pieņemšana;1;Dušenko K. Lielā aforismu grāmata. 43. lpp. Autors: NA
Ātrāk sāks,ātrāk atmetīs. ;1;https://twitter.com/agrisvolkovs/status/1708827901326463210
Ātrslidotāji Vācietis un Kucina sacensībās Vācijā uzstāda sešus Latvijas junioru rekordus;0;https://sportacentrs.com/ziemas_sports/slidosana/25022024-atrslidotaji_vacietis_un_kucina_sacensiba
Bagātīgi un daudzveidīgi! Latvijas mūzikas jaunāko singlu izlase;0;https://www.lsm.lv/raksts/kultura/muzika/17.02.2024-bagatigi-un-daudzveidigi-latvijas-muzikas-jaunako-singlu-izlase.a543243/
Bagāts viņš, bet mīkstu sirdi: Dzird par grūtdienīšu raudām, Tūdaļ kabatā bāž roku, Izvelk savu nēzdodziņu.;1;https://www.uzdevumi.lv/p/latviesu-valoda/6-klase/stilistika-9560/re-ffe1a8eb-c120-464b-b410-8b73fe7a9bc0
"Baidena suns Komandieris radījis problēmas viņa apsardzei; fiksēti vismaz 24 sakošanas incidenti";0;https://zinas.tv3.lv/arvalstis/baidena-suns-komandieris-radijis-problemas-vina-apsardzei-fikseti-vismaz-24-sakosanas-incidenti/
Balcers gūst uzvaras vārtus mačā ar Ķēniņu;0;https://sports.tvnet.lv/7967184/balcers-gust-uzvaras-vartus-maca-ar-keninu
Balinskis rezultatīvs trešajā AHL spēlē pēc kārtas;0;https://sportacentrs.com/hokejs/legionari/25022024-balinskim_tresaja_spele_pec_kartas_rezult
''Barcelona'' pārliecinoši uzvar un paceļas uz otro vietu ''La Liga'';0;https://sportacentrs.com/futbols/spanija/24022024-barcelona_parliecinosi_uzvar_un_pacelas_u
Bauskas novadā ugunsgrēkā gājis bojā cilvēks;0;https://www.tvnet.lv/7981311/bauskas-novada-ugunsgreka-gajis-boja-cilveks
Bāc. Tie, kuri ir izslimojuši covid un ir ar antivielām tagad var taisīt antivielu ballītes. skauž ;1;https://twitter.com/_skabarga/status/1365024616448733186
Beidzot arī izmēģinu jaunos vilcienus. Glauni! ;0;https://twitter.com/saliktengriba/status/1761332041851838616
Beidzot atrasts visefektīvākais vingrinājums svara zaudēšanai;0;https://nra.lv/veseliba/447595-beidzot-atrasts-visefektivakais-vingrinajums-svara-zaudesanai.htm
Beidzot atrisināta 140 gadus sena mīkla par antarktiskajiem milzu ūdens zirnekļiem;0;https://www.delfi.lv/campus/56036786/vide/120001187/beidzot-atrisinata-140-gadus-sena-mikla-par-antarktiskajiem-milzu-udens-zirnekliem
Beidzot. Sākot ar šodienu sievietes vairs netiks sistas;1;https://twitter.com/acc85714375/status/1734924198206669134
Bet, bet, bet... Kāpēc viņa bija jāved ar neekoloģisko mašīnu?? Kāpēc ātrie nevar ar zirgu vai riteni cietušo vest?;1;https://twitter.com/NegribuRakstit/status/1588505338541932545
Bez kartīgas caurejas, vēdera lejasdaļas muskuļi netrennējas!;1;https://twitter.com/stacionaars/status/1668327962754842624
Bezdarba līmenis Latvijā pērn samazinājies līdz 6,5%;0;https://www.lsm.lv/raksts/zinas/ekonomika/23.02.2024-bezdarba-limenis-latvija-pern-samazinajies-lidz-65.a544121/
Bērni Latvijas skolās sūdzas par kādu latviešu blogeri;0;https://nra.lv/latvija/izglitiba-karjera/444684-berni-latvijas-skolas-sudzas-par-kadu-latviesu-blogeri.htm
Bērni palūdza brīvdienās pastaigu un dabūs arī. 50km apkārt Tenerifes mežonīgajam ziemeļu galam. Būs jāiet, jānes, jāguļ uz zemes un jāēd no maisiņiem.;0;https://twitter.com/arvids/status/1766096600756035728
Bērniem vispār nevajadzētu lasīt - ka neizaug pārāk gudri;1;https://twitter.com/tvitermaniaks/status/1108243785329319936
Bērnudārzā pēc obligātajām potēm bērni neizmet dezinfekcijas vatītes, jo tās tik ļoti smaržo pēc tēta.;1;https://anekdotes.eu/page/95
Biezpiena plācenīši jeb pankūkas: 18 lieliskas receptes;0;https://receptes.tvnet.lv/7955608/biezpiena-placenisi-jeb-pankukas-18-lieliskas-receptes
Biežākās traumas ziemā – roku un kājas lūzumi;0;https://www.lsm.lv/raksts/zinas/latvija/16.02.2024-biezakas-traumas-ziema-roku-un-kajas-luzumi.a543260/
Bijušajam Austrijas kancleram piespriež nosacītu cietumsodu;0;https://www.tvnet.lv/7966641/bijusajam-austrijas-kancleram-piespriez-nosacitu-cietumsodu
Birojā dzimšanas dienās nav pieņemts pūst sveces, jo šeit katram pašam ir jāizdeg…;1;https://www.1188.lv/zinas/isie-joki-un-anekdotes/6072
Blumbergs izceļas ar precīzu tālmetienu zaudētā Grieķijas čempionāta mačā;0;https://sports.tvnet.lv/7981212/blumbergs-izcelas-ar-precizu-talmetienu-zaudeta-griekijas-cempionata-maca?_gl=1*2t1l99*_gcl_au*MTk2NDcxMDUzNy4xNzA4OTY0OTA2&_ga=2.130510860.2078263571.1710698918-501664052.1708964906
Bļugeram un Girgensonam zaudējumi NHL spēlēs, vārtsargi Merzļikins un Šilovs paliek rezervē;0;https://www.lsm.lv/raksts/sports/hokejs/17.03.2024-blugeram-un-girgensonam-zaudejumi-nhl-speles-vartsargi-merzlikins-un-silovs-paliek-rezerve.a546998/
Brauc ar velo un nečīksti;1;https://twitter.com/_tolx_/status/1731933980247630062
"Brīdina par slimībām, kas iznīcina banānu plantācijas; cenu kāpums banāniem ir neizbēgams";0;https://www.tvnet.lv/7980264/bridina-par-slimibam-kas-iznicina-bananu-plantacijas-cenu-kapums-bananiem-ir-neizbegams
Brīnišķīgs laiks, spīd saule, zālājs mīksts un zaļš, peļķu nav, kā vienmēr atkal viss ir pret mūsu futbola komandu.;1;https://anekdotes.eu/page/202
Brīnišķīgs vīrietis tas Ernests.;1;https://twitter.com/Laumaryn/status/1720772875576099177
Brīvības ielā velojoslas nevajag.. tas ka pieaug velo un mikromobilitātes negadījumi, nieki, cilvēki mainīs paradumus, tiklīdz kā būs soliņi ;1;https://twitter.com/armis22/status/1712099658011439448
Būs izmaiņas Covid-19 sertifikātu sistēmā;0;https://neatkariga.nra.lv/veseliba/443019-bus-izmainas-covid-19-sertifikatu-sistema?_gl=1*jsctvs*_ga*MTY5MDg4MzA1MC4xNzA4MjQyMjAx*_ga_LTMBW853YH*MTcwODg3NzgwNS42LjEuMTcwODg3ODQ3Ny4wLjAuMA..
Būs jauns sociālais dzimums un viss mainīsies.;1;https://twitter.com/marija201322/status/1720056388183900266
Būt par sievieti un lutināt sevi, tas ir brīnisķīgi;0;https://twitter.com/IngaIngucis/status/1765783156492226593
Būtiski atgādinājumi, kā svētkos no kaitējuma pasargāt plaušas;0;https://nra.lv/veseliba/441423-butiski-atgadinajumi-ka-svetkos-no-kaitejuma-pasargat-plausas.htm
Būtu tak ieteicams atgriezties pie kārtības, kad tiesības balsot bija vien tiem, kam īpašums pārsniedz noteiktu vērtību? Ieteicams, aristokrātiem vai vismaz tikai kungiem, vaine? Iekļaujoša demokrātija rada vienas vienīgas nelaimes un neērtības.;1;https://twitter.com/ritaignate/status/1736336826531492307
"Būvniecībā trūkst speciālistu; aicina jauniešus studēt";0;https://www.lsm.lv/raksts/zinas/latvija/21.02.2024-buvnieciba-trukst-specialistu-aicina-jauniesus-studet.a543836/
Ceļu satiksmes negadījuma dēļ trīs stundas kavējas vilciens Rīga-Valga;0;https://www.delfi.lv/193/politics/56198984/celu-satiksmes-negadijuma-del-tris-stundas-kavejas-vilciens-riga-valga
Cerams, to koku tur nebūs - a ja nu kāds tajos ietriecas, braucot pa šoseju. ;1;https://twitter.com/tvitermaniaks2/status/1579732959279865856
Ceturtdiena būs mākoņaina;0;https://www.delfi.lv/laika-zinas/42384664/raksti/56359436/ceturtdiena-bus-makonaina
"Cēsu novadā 'Audi' iebrauc kokā; bojā iet pasažieris";0;https://www.delfi.lv/161/criminal/56349994/cesu-novada-audi-iebrauc-koka-boja-iet-pasazieris
Cēsu pusē negadījumā uz sliedēm dzīvību zaudē vīrietis;0;https://www.delfi.lv/161/criminal/56339230/cesu-puse-negadijuma-uz-sliedem-dzivibu-zaude-virietis
Cēzara salāti ir labākais, ko var ēst!;0;https://twitter.com/KaijaSkujina/status/1769407578486813049
Cigaņiks muskuļu savainojuma dēļ nespēlēs tuvākās pāris nedēļas;0;https://sportacentrs.com/futbols/legionari/25022024-ciganiks_muskulu_savainojuma_del_nespeles
Cik atceros no skolas laikiem - biezpiens ar sīpoliem, dzirdēju par šādu recepti, kad mājasdarbs bija aizmirsts;0;https://twitter.com/Desaines/status/1763653367606178284
Cik daudz pārtikas atkritumu rodas trīs dažādās ģimenēs?;0;https://www.tv3.lv/dzivesstils/darzs-un-maja/cik-daudz-partikas-atkritumu-rodas-tris-dazadas-gimenes/
Cik futbola bumbas varētu nopirkt, ja LFF prezidentam būtu bail lidot? Ja nebūtu kovids, tad būtu vēl vairāk.;1;https://twitter.com/VPuikas/status/1491073824687009793
"Cik ilgā laikā Nacionālā bibliotēka atpelnīs ieguldīto, vai Latvijas Nacionālais mākslas muzejs, vai Jaunā Rīgas teātra ēka, vai ielas malā iestādīta liepa? Vai Brīvības piemineklis jau ir ""atpelnījis"" saziedoto?";1;https://twitter.com/JanisTiesnieks/status/1734533153887322406
Cik labi, tiešām ļoti mierīgi palika. ;1;https://twitter.com/olimpietis2/status/1655653928187338767
Cik moderns Rīgas Dome noformējums! Laikmetīgi un progresīvi! #sarkasms Vai tiešām šis ir kaut kas tāds, kas var piesaistīt tūristus vai priecēt vietējo cilvēku sirdis. Jābrauc atkal būs uz Ogres novadu gūt svētku noskaņu!;1;https://twitter.com/IvarsForands/status/1725488260825354368
Cilvēkam ir raksturīgi kļūdīties, bet vīrietis pirms tam vēl domā..;1;https://spoki.lv/joki/smiekligi-aforismi/437068
Cilvēkiem vajadzētu priecāties, ka es reti komentēju viņu ierakstus sociālajos tīklos.;1;https://twitter.com/TirsSarkasms/status/362994362931625986
Citiem vārdiem, laikā, kad Satiksmes ministrijas budžetā trūkst līdzekļi ceļu attīstībai, ministrs dodās komandējumos uz Dubaju un virkni citu valstu Eiropā iztērējot attīstībai tik nepieciešamos līdzekļus. ;1;https://twitter.com/JanisButans/status/1755162021429932108
cīruli dzirdēju. Ir atgriezušies, tātad ir pavasaris;0;https://twitter.com/AnnanizlE/status/1764228682720145530
Covid-19 ir parasta gripa, no kuras nav jābaidās. Mēs negribam būt aitas. Tas viss ir valdības izdomāts šovs.;1;https://twitter.com/KBlumentals/status/1547491968661561344
CSDD piedāvās jaunas sērijas numurus transportlīdzekļu reģistrācijai ;0;https://www.tvnet.lv/7979787/csdd-piedavas-jaunas-serijas-numurus-transportlidzeklu-registracijai
Čaklas, čaklas jūs, meitiņas, Lielas darba darītājas: Jums mutīte nemazgāta, Neslaucīta istabiņa.;1;https://dainuskapis.lv/meklet/9240/m%EF%BE%84%E3%80%89a
Čaklas, čaklas mūsu meitas, Tāļu tautas daudzināja: Gultā tām saule lēca, Gultā saule norietēja.;1;https://latviandainas.lib.virginia.edu/tei.latv04.xml%3Flang=eng&div_id=latv04_s1ss4a.html
Čaks Noris nožņaudza cilvēku ar bezvadu internetu.;1;https://anekdotes.eu/page/49
Čaks Noriss ar piepūstu balonu var nosist ezi.;1;https://anekdotes.eu/page/49
Čaks Norris iebāza pirkstu kontaktligzdā un nosita elektrību.;1;https://anekdotes.eu/page/44
Četras vidusskolnieces radījušas galda spēli, kas māca sociāli atbildīgu uzņēmējdarbību;0;https://zinas.tv3.lv/latvija/cetras-vidusskolnieces-radijusas-galda-speli-kas-maca-sociali-atbildigu-uznemejdarbibu/
Četros gados Latvijas skolēnu sniegums matemātikā un lasīšanā samazinājies, liecina pētījums;0;https://www.delfi.lv/193/politics/56166064/cetros-gados-latvijas-skolenu-sniegums-matematika-un-lasisana-samazinajies-liecina-petijums
Dabas muzejs izsludina putnu fotokonkursu;0;https://nra.lv/latvija/448522-dabas-muzejs-izsludina-putnu-fotokonkursu.htm
Daļa skolotāju uzskata, ka ļoti mazās skolas tiešām ir jālikvidē;0;https://nra.lv/latvija/izglitiba-karjera/447118-dala-skolotaju-uzskata-ka-loti-mazas-skolas-tiesam-ir-jalikvide.htm
Darba piedāvājumos augstāko izglītību prasa, lai būtu pārliecība, ka darbinieks spēs piecus gadus nodarboties ar garlaicīgām lietām.;1;https://anekdotes.eu/page/107
Darbā šodien nobruka datori, tāpēc nācās visu darīt ar rokām. Kāršu izdalīšana solitaire man prasīja veselas 20 minūtes.;1;https://spoki.lv/joki/10-isi-un-smiekligi-joki-par-darbu/923239
Daudzām dāmām uz maikām rakstīts, ka viņas mīl Ņujorku, bet sejā rakstīts, ka Purvciemu.;1;https://twitter.com/TirsSarkasms/status/514736056412155906
Daugavā ūdens līmenis Daugavpilī tuvojas drošības brīdinājuma robežai;0;https://www.tvnet.lv/7968715/daugava-udens-limenis-daugavpili-tuvojas-drosibas-bridinajuma-robezai
Daugavpilī ieviesīs pamatīgus taupības pasākumus;0;https://nra.lv/latvija/447614-daugavpili-ieviesis-pamatigus-taupibas-pasakumus.htm
Daugavpilī plāno likvidēt trīs izglītības iestādes;0;https://www.tvnet.lv/7965838/daugavpili-plano-likvidet-tris-izglitibas-iestades
Daugavpils slimnīca nespēj atļauties samaksāt algas ārstiem;0;https://www.delfi.lv/193/politics/56202946/daugavpils-slimnica-nespej-atlauties-samaksat-algas-arstiem
