angliski;latviski;vērtība;atsauce
class of 2014: tips for renting your first post-grad apartment;2014. gada izlaidums: padomi, kā īrēt savu pirmo dzīvokli pēc studiju beigšanas;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
class of 2014, we've come a long way;2014. gada klase, mēs esam nogājuši garu ceļu;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the best tv shows of 2014;2014. gada labākie TV šovi;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
find the love you always wanted in 2015;2015. gadā atrodi mīlestību, ko vienmēr esi vēlējies;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
men did most of the talking in 2016's super bowl commercials;2016. gada Super Bowl reklāmās visvairāk runāja vīrieši;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
states enacted more than 60 abortion restrictions in 2016;2016. gadā štatos ieviesti vairāk nekā 60 abortu ierobežojumi;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
news roundup for july 19, 2017;2017. gada 19. jūlija ziņu apskats;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
toasting 2017 goodbye with ketogenic kool-aid;2017. gada atvadu tosts ar ketogēno kool-aid;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 2018 winter olympics in pyeongchang, by the numbers;2018. gada ziemas olimpiskās spēles Phjončhanā - skaitļi;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
A 22 year old, leading lacs of people for caste base quota system. Where as millions of us youngsters feel its redundant;22 gadus vecs, kas vada lakas cilvēku kastu bāzes kvotu sistēmai. Kamēr miljoniem no mums, jauniešiem, uzskata, ka tas ir lieki.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 23 best songs of 2014;23 labākās 2014. gada dziesmas;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 26 funniest tweets from women this week;26 smieklīgākie sieviešu tvīti šonedēļ;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 3 (unlikely) artists i'm obsessing over this year;3 (maz ticami) mākslinieki, par kuriem esmu apsēsta šogad;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
3 Followers???? New Record ;3 sekotāji???? Jauns rekords ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
3 loses in a row. Is it too late to sell, sell, sell? ;3 zaudējumi pēc kārtas. Vai ir par vēlu pārdot, pārdot, pārdot? ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
38 minutes in and the Muslim hate and fear-mongering begins! God I love Republicans ;38 minūtes, un sākas musulmaņu naida un baiļu kurināšana! Dievs, es mīlu republikāņus ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
4 days of hard working out/eating healthy and  4 days of being lazy/eating junk food ;4 dienas smagi strādā/ēd veselīgi un 4 dienas slinki/ēd neveselīgu pārtiku. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
game changer: 4 reasons digital learning thwarts feelings of failure;4 iemesli, kāpēc digitālā mācīšanās mazina neveiksmes sajūtu;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Reason number 47 as to why I don't want kids: My body's automatic response to pain is to throw up continuously so labor sounds fun. ;47. iemesls, kāpēc es negribu bērnus: Manā ķermenī automātiskā reakcija uz sāpēm ir nepārtraukta vemšana, tāpēc dzemdības izklausās jautri. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 5 best basic phones for kids;5 labākie pamata tālruņi bērniem;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 5 things about clothing you don't need to tell older women;5 lietas par apģērbu, kas jums nav jāstāsta vecākām sievietēm;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 5 things your kids will remember about you;5 lietas, ko jūsu bērni atcerēsies par jums;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 5 nba rookies you need to watch this season;5 NBA jaunpienācēji, kas jums jāskatās šosezon;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
5 of 5 big furniture items choose your little pinky toe ;5 no 5 lielajām mēbelēm izvēlas savu mazo pirkstiņu pirkstiņu. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 5 running essentials you need to train for your first 5k;5 svarīgākie skriešanas priekšnoteikumi, kas nepieciešami, lai sagatavotos savam pirmajam 5 km skrējienam;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 6 real reasons i'm happy to be married;6 īstie iemesli, kāpēc esmu laimīga, ka esmu precējusies;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 6 secrets of self-control;6 paškontroles noslēpumi;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
6 hours after I think about how I'm so much better than other people for never breaking my phone and it slips into a NYC toilet…;6 stundas pēc tam, kad es domāju par to, cik es esmu daudz labāks par citiem cilvēkiem, jo nekad nesalauzu savu telefonu, un tas ieslīd Ņujorkas tualetē...;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
photo of couple married 60 years shows what true devotion really looks like;60 gadus precēta pāra fotogrāfija parāda, kā patiesībā izskatās patiesa uzticība;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 7-year-old actress in 'the florida project' gives the year's best screen performance;"7 gadus vecā aktrise filmā ""Floridas projekts"" sniedz gada labāko ekrāna sniegumu";0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 7 things we will all wear if trump becomes president;7 lietas, ko mēs visi valkāsim, ja Tramps kļūs par prezidentu;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
demolishing the 7 myths propping up fossil fuels;7 mītu, kas atbalsta fosilo kurināmo, sagraušana;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
80+ degrees. Need fan on. 80+ papers to mark. Need fan off (blows papers away). Topic of papers: Dilemmas. ;80+ grādi. Nepieciešams ieslēgts ventilators. 80+ papīri, kas jānozīmē. Nepieciešams izslēgts ventilators (aizpūš papīrus). Dokumentu tēma: Dilemmas. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
legendary broadcaster dies at 82;82 gadu vecumā miris leģendārs raidījumu vadītājs;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
9 earned runs, so glad we didn't trade Samardzija. That would have been CRAZY. ;9 nopelnītie punkti, tik priecīgi, ka mēs neaizmainījām Samardziju. Tas būtu bijis traki. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
I blame Obama and the Kardashians for 90% of America's problems;90 % Amerikas problēmu es vainoju Obamu un Kardašjanu ģimeni.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
90% of your twitter following is determined by a good handle.;90 % tavu tvitera sekotāju nosaka labs rokturis.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Both my child hood best friends that I haven't talked to in yearss,  just wrote me on Facebook ;Abas manas bērnības labākās draudzenes, ar kurām neesmu runājusi gadiem ilgi, tikko rakstīja man Facebook. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Abolitionists and mixed race people were slave owners looking for compensation for the loss of property ;Abolicionisti un jauktās rases cilvēki bija vergu īpašnieki, kas meklēja kompensāciju par īpašuma zaudējumu ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
subscription services provide book and toy options to parents of brown kids;Abonēšanas pakalpojumi nodrošina grāmatu un rotaļlietu izvēli brūto bērnu vecākiem;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
absolute tramps putting statuses about other tramps;absolūti trampi, kas ievieto statusus par citiem trampiem;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently cheaters do win, great job;Acīmredzot krāpnieki patiešām uzvar, lielisks darbs;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently I'm in relationship with someone and I have to do whatever they say when they say, did y'all know that? ;Acīmredzot man ir attiecības ar kādu, un man ir jādara viss, ko viņi saka, kad viņi saka, vai jūs to zinājāt? ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
apparently nobody understands when I'm being sarcastic.  maybe I need to start adding ;acīmredzot neviens nesaprot, kad es esmu sarkastisks. varbūt man jāsāk pievienot ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently between last night and today it's a fun time to be on a bus in the minors…;Acīmredzot no pagājušās nakts līdz šodienai ir jautrs laiks, lai atrastos nepilngadīgo autobusā...;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently the secret to making my knees hurt less was to do MORE lunges.;Acīmredzot noslēpums, kā panākt, lai man mazāk sāpētu ceļgali, bija darīt VAIRĀK izspiedienus.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently there is a phenomena of abusive cis women pretending to be abused to access refuges so they can attack their partner ;Acīmredzot pastāv fenomens, ka vardarbīgas cis sievietes izliekas par vardarbīgām, lai piekļūtu patvēruma vietām un varētu uzbrukt savam partnerim. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
"Apparently the anti piracy advert that says ""you wouldn't steal a car"" didn't pay the copyright on the music and are getting sued ";"Acīmredzot pret pirātismu vērstā reklāma, kurā teikts, ka ""tu nenozagtu mašīnu"", nav samaksājusi par mūzikas autortiesībām un tiek iesūdzēta tiesā. ";1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently sarcasm is hurtful.  If you take that away, I might as well be mute. ;Acīmredzot sarkasms ir sāpīgs.  Ja jūs to atņemat, es varētu arī būt mēms. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Clearly all of the gun laws in Illinois and Chicago are working. ;Acīmredzot visi ieroču likumi Ilinoisā un Čikāgā darbojas. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Apparently, all we need is love. Thanks for clearing that up, Justin. ;Acīmredzot viss, kas mums vajadzīgs, ir mīlestība. Paldies, ka to noskaidrojāt, Justin. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Obviously, if I don't want to eat there today, I don't want to eat at all. ;Acīmredzot, ja es šodien negribu tur ēst, es negribu ēst vispār. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
prosecutors in tamir rice case bizarrely pointed toy gun at witness, lawyers allege;advokāti apgalvo, ka prokurori Tamira Raisa lietā dīvainā kārtā vērsuši pret liecinieku rotaļu pistoli.;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
lawyers are now the driving force behind mortgage scams;advokāti tagad ir hipotekāro krāpniecību dzinējspēks;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the unwinnable afghanistan war;Afganistānas karš, kurā nav iespējams uzvarēt;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
young afghans returning from europe face isolation and fear back home;afgāņu jaunieši, kas atgriežas no eiropas, saskaras ar izolāciju un bailēm mājās;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
noose found in african-american history museum exhibit in d.c.;afrikāņu-amerikāņu vēstures muzeja ekspozīcijā štata štatā atrasta cilpa.;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Ageism and sexism. What a great meeting.  ;Ageisms un seksisms. Kāda lieliska tikšanās.  ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
I used to think I was so good at self examining myself to recognize flaws turns out I'm quite miserable at it. except in this case ;Agrāk es domāju, ka man tik labi padodas sevis pārbaudīšana, lai atpazītu trūkumus, izrādās, ka man tas padodas diezgan nožēlojami. izņemot šo gadījumu. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
got up early to drive home so I could get to work on time. my tire blew out on the way there. now have to call out of work. ;agri cēlos, lai brauktu mājās un varētu laikus nokļūt darbā. pa ceļam man plīsusi riepa. tagad man jāatsaucas no darba. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Aha! So Twitter app receives an update and resets the timeline position to the top. Genius! ;Aha! Tātad Twitter lietotne saņem atjauninājumu un atjauno laika līnijas pozīciju uz augšu. Ģeniāls! ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Ahh, don't you just love it when it's 2 AM and you're wide awake? ;Ahh, vai jums vienkārši nepatīk, kad ir divi naktī un jūs esat pamodušies? ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
iowa supreme court strikes down telemedicine abortion ban;Aiovas Augstākā tiesa atceļ telemedicīnas abortu aizliegumu;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Behind every successful man is his woman  Behind the fall of a successful man is usually another woman;Aiz katra veiksmīga vīrieša stāv viņa sieviete Aiz veiksmīga vīrieša kritiena parasti ir cita sieviete.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Riding off into the sunset is actually quite unpleasant because you have a big ass fiery ball staring back at you over the horizon. ;Aizbraukt saulrietā patiesībā ir diezgan nepatīkami, jo aiz apvāršņa uz tevi skatās liela ugunīga bumba. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
dui crash suspect: arrest my dog, not me;Aizdomās par ceļu satiksmes negadījumu aizdomās turamais: arestējiet manu suni, nevis mani;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
suspected austin bomber dead in confrontation with police;aizdomās turamais spridzinātājs austinā miris sadursmē ar policiju;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
kidnapping suspect says vaccine's side effects led him to crime;Aizdomās turētais par nolaupīšanu apgalvo, ka vakcīnas blakusparādības viņu novedušas pie nozieguma.;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Go to hospital for checkup, leave with a sprained ankle;Aizeju uz slimnīcu uz pārbaudi, iznāku ar sastieptu potīti.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Bans and cries of hate speech/racism are the only tools of those who preach tolerance and acceptance. ;Aizliegumi un kliedzieni par naida runu/rasismu ir vienīgie instrumenti tiem, kas sludina iecietību un pieņemšanu. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forgetting words and how to read in English is great after coming back from another country ;Aizmirst vārdus un kā lasīt angliski ir lieliski pēc atgriešanās no citas valsts. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forget content. By all means let's investigate how the Planned Parenthood videos were obtained. That's the real issue;Aizmirstiet saturu. Noteikti izmeklēsim, kā tika iegūti Plānotās vecāku organizācijas videoieraksti. Tas ir īstais jautājums.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forgot to post a pic of me holding a beer, at a winery, or at a bar. What a scrappy life I live. ;Aizmirsu ievietot foto, kurā es turu alu, vīna darītavā vai bārā. Kāda skopa dzīve es dzīvoju. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forgot to bring the milk for my cereal. Today is going to be wonderful.;Aizmirsu paņemt līdzi pienu saviem graudaugu pārslām. Šodien būs brīnišķīgi.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forgot to thanks the Georgia highway patrol for my speeding ticket for going 75 mph in a 65mph zone on the interstate at 2am ;Aizmirsu pateikties Džordžijas ceļu patruļai par manu ātruma pārsniegšanas biļeti par braukšanu 75 km/h 65 km/h zonā uz starpštata 2 naktī. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Forgot my pain meds, work is going to be great ;Aizmirsu savas pretsāpju zāles, darbs būs lielisks ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
conservationist known for exposing ivory & rhino trade stabbed to death;Aizsardzības aktīvists, kas pazīstams ar to, ka atmaskoja ziloņkaula un degunradžu tirdzniecību, nokauts līdz nāvei;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Locked myself out of the house. I think I have adulting down. ;Aizslēdzos no mājas. Domāju, ka esmu pieradusi pieaugušo dzīvi. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
prejudice does not discriminate;aizspriedumi nediskriminē;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
Defends life, but doesn't want people to have healthcare.;Aizstāv dzīvību, bet nevēlas, lai cilvēkiem būtu veselības aprūpe.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Increasing number of Indians are being made as CEO of tech companies. Yet India is still a developing nation.;Aizvien vairāk indiešu kļūst par tehnoloģiju uzņēmumu izpilddirektoriem. Tomēr Indija joprojām ir jaunattīstības valsts.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh yeah let's block someone on Twitter because that will show them;Ak jā, bloķēsim kādu Twitter, jo tas viņiem parādīs.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Ah yes let's have Emily get in trouble for doing her job. That's totally how this works.;Ak jā, lai Emīlija nonāk nepatikšanās par to, ka dara savu darbu. Tas ir pilnīgi skaidrs, kā tas darbojas.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh yes of course: middle of August so it's raining. Great ;Ak jā, protams: augusta vidus, tāpēc līst. Lieliski ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh no Shelli just called James cute!! She has a thing for him! ;Ak nē, Šelli tikko piezvanīja Džeimsam!!! Viņai viņš ir simpātiju lieta! ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh no, that Jesus casting isn't weird at all. ;Ak nē, tas Jēzus liešana nemaz nav dīvains. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh no just been called into work tomorrow, gutted that I'm not gonna be able to get my results.... ;Ak nē, tikko mani izsauca uz rītdienu darbā, esmu sarūgtināta, ka nevarēšu saņemt savus rezultātus..... ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh noo my life is over now what will i ever do ;Ak nū mana dzīve ir beigusies tagad, ko es kādreiz darīšu? ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh, but according to him you can't touch earthworms or they'll crawl up your body. ;Ak, bet, pēc viņa teiktā, tu nedrīksti pieskarties sliekām, citādi tās rāpos pa tavu ķermeni. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh man. I got my new shirt in the mail!! It's so cool!! Can't wait to rock it tonight!! ;Ak, briesmīgi. Es saņēmu pa pastu savu jauno kreklu!! Tas ir tik foršs!! Nevaru sagaidīt, kad šovakar to varēsim izvilkt!!! ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Oh goody, two diocesan newspapers, just what I wanted. ;Ak, brīnums, divas diecēžu avīzes, tieši to es gribēju. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
